"ref","date","variable","value_mean","n_obs","range","range_prop","check"
"k-m+_c1_1.5","2022-11-09","body",1.47071207,1,0,0,FALSE
"k-m+_c1_1.5","2022-11-09","spine",0.153914348,1,0,0,FALSE
"k-m+_c1_1.6","2022-11-03","body",1.0541049022,1,0,0,FALSE
"k-m+_c1_1.6","2022-11-03","spine",0.4065277366,1,0,0,FALSE
"k-m+_c1_1.7","2022-11-03","body",0.9752779326,1,0,0,FALSE
"k-m+_c1_1.7","2022-11-03","spine",0.4182666514,1,0,0,FALSE
"k-m+_c1_1.7","2022-11-09","body",1.277404354,1,0,0,FALSE
"k-m+_c1_1.7","2022-11-09","spine",0.4715793718,1,0,0,FALSE
"k-m+_c1_1.8","2022-11-03","body",1.1103221888,1,0,0,FALSE
"k-m+_c1_1.8","2022-11-03","spine",0.34591244,1,0,0,FALSE
"k-m+_c1_2.1","2022-11-07","body",1.2611024816,1,0,0,FALSE
"k-m+_c1_2.1","2022-11-07","spine",0.4515564248,1,0,0,FALSE
"k-m+_c1_2.3","2022-11-07","body",0.9268866908,1,0,0,FALSE
"k-m+_c1_2.3","2022-11-07","spine",0.3228032406,1,0,0,FALSE
"k-m+_c1_2.5","2022-11-07","body",1.147954143,1,0,0,FALSE
"k-m+_c1_2.5","2022-11-07","spine",0.4178575082,1,0,0,FALSE
"k-m+_c1_2.6","2022-11-07","body",1.0011474008,1,0,0,FALSE
"k-m+_c1_2.6","2022-11-07","spine",0.3723610028,1,0,0,FALSE
"k-m+_c1_2.8","2022-11-07","body",1.0672039362,1,0,0,FALSE
"k-m+_c1_2.8","2022-11-07","spine",0.1030317218,1,0,0,FALSE
"k-m+_c1_4.1","2022-12-06","body",0.8892629535,2,0.00241170459999995,0.00271202639276477,FALSE
"k-m+_c1_4.1","2022-12-06","spine",0.3250217401,2,0.0035098482,0.0107988105623954,TRUE
"k-m+_c1_4.3","2022-12-06","body",1.0033391795,2,0.00110233460000009,0.0010986659571586,FALSE
"k-m+_c1_4.3","2022-12-06","spine",0.3693908665,2,0.00926757099999997,0.0250887930386876,TRUE
"k-m+_c1_4.3","2022-12-13","body",1.2119207156,1,0,0,FALSE
"k-m+_c1_4.3","2022-12-13","spine",0.3332497526,1,0,0,FALSE
"k-m+_c1_4.4","2022-12-13","body",1.31690999,1,0,0,FALSE
"k-m+_c1_4.4","2022-12-13","spine",0.3557532636,1,0,0,FALSE
"k-m+_c1_4.5","2022-12-06","body",0.9314573446,2,0.00178333400000008,0.0019145632490191,FALSE
"k-m+_c1_4.5","2022-12-06","spine",0.4032693738,2,0.00160086040000001,0.0039697048772019,FALSE
"k-m+_c1_4.5","2022-12-13","body",1.2326844028,1,0,0,FALSE
"k-m+_c1_4.5","2022-12-13","spine",0.4375832244,1,0,0,FALSE
"k-m+_c1_6.1","2022-12-12","body",1.1101128674,1,0,0,FALSE
"k-m+_c1_6.1","2022-12-12","spine",0.3608244244,1,0,0,FALSE
"k-m+_c1_6.1","2022-12-19","body",1.4210498376,1,0,0,FALSE
"k-m+_c1_6.1","2022-12-19","spine",0.2947565352,1,0,0,FALSE
"k-m+_c1_6.2","2022-12-12","body",1.0186274776,1,0,0,FALSE
"k-m+_c1_6.2","2022-12-12","spine",0.3105898538,1,0,0,FALSE
"k-m+_c1_6.2","2022-12-19","body",1.412518257,1,0,0,FALSE
"k-m+_c1_6.2","2022-12-19","spine",0.3142635828,1,0,0,FALSE
"k-m+_c1_6.3","2022-12-12","body",0.970940273,1,0,0,FALSE
"k-m+_c1_6.3","2022-12-12","spine",0.0141104874,1,0,0,FALSE
"k-m+_c1_6.3","2022-12-19","body",1.3076086116,1,0,0,FALSE
"k-m+_c1_6.3","2022-12-19","spine",0.0116679472,1,0,0,FALSE
"k-m+_c1_6.4","2022-12-12","body",0.906460214,1,0,0,FALSE
"k-m+_c1_6.4","2022-12-12","spine",0.3251874116,1,0,0,FALSE
"k-m+_c1_6.4","2022-12-19","body",1.371623114,1,0,0,FALSE
